Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Praktikerservice;Aktieägarservice;Aktieservice;Ja;;Plus;Plus;Plus;Köp och försäljning av aktier;Ägarregistrering och upprättande av handlingar;Courtage;;;;0;Birgitta Jacobsson;;;;;
Praktikerservice;Aktieägarservice;Aktieägarinformation;Ja;;Bas;Bas;Bas;Information vid uppstart av aktieägarbolag;Information och stöd vi uppstart av aktieägarbolag;Fast avgift per ägare ;;;;0;Erik Grehn;;;;;
Praktikerservice;Aktieägarservice;Aktieägarinformation;Ja;;Bas;Bas;Bas;Information relaterat till aktieägandet;Information i frågor från ägare relaterat till aktieägandet;Fast avgift per ägare;;;;0;Erik Grehn;;;;;
Praktikerservice;Aktieägarservice;Aktieägarinformation;Ja;;Bas;Bas;Bas;Information för deklaration av utdelning och försäljning (K10);Information till aktieägare med upgifter för deklarattion av utdelning och försäljning av aktier ( bilaga K10);Fast avgift per ägare;;;;0;Erik Grehn;;;;;
Praktikerservice;HR;Arbetsrättslig rådgivning;Ja;;Bas;Bas;Bas;Stöd till parktiker i chefrollen;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Arbetsrättslig rådgivning vid verksamhetsförändring;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Avslut anställning medarbetare;Ja;;Bas;Bas;Bas;Uppsägning av medarbetare pga arbetsbrist;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Avslut anställning medarbetare;Ja;;Bas;Bas;Bas;Uppsägning av medarbetare pga personliga skäl;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Avslut anställning medarbetare;Ja;;Bas;Bas;Bas;Avsked av medarbetare;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Bevakning av viktiga datum personal;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;Ekonomiservice;Avvikelsehantering Intäktsdagbok;Ja;;Bas;Bas;Bas;;;Fast pris per styck;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Banktjänster och customer relations;Ja;;Bas;Bas;Bas;;Tillhandahålla banktjänter enligt marknadsmässiga och konkurrenskraftiga villkor;Fast avgift månad;;;;0;Michael Craas;;;;;
Praktikerservice;Ekonomiservice;Inkasso;Ja;;Bas;Bas;Bas;Inkasso Patientfordringar;Insikt, digitalt formulär;Fast avgift;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Inkasso;;;Plus;Plus;Plus;Inkasso Kundfordringar;Insikt, digitalt formulär till Intrum Justitia;Fast pris per styck;;;;0;Sofie Wallenberg;;;;;
Praktikerservice;Ekonomiservice;Interna transaktioner;Ja;;Bas;Bas;Bas;Intern fördelning av intäkter;;Fast pris per styck;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Interna transkationer;Ja;;Bas;Bas;Bas;Intern fördelning av kostnader;;Fast pris per styck;;;;0;Tomas Esping;Maria Thor;;;;
Praktikerservice;Ekonomiservice;Intäktsredovisning Formulär;Ja;;Bas;Bas;-;Redovisa intäkter, Webb PV, SV;Insikt, digitalt formulär;Fast pris per månad;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Intäktsredovisning Formulär;Ja;;-;-;Plus;Redovisa intäkter, Webb TV      ;Insikt, digitalt formulär;Fast pris per månad;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Intäktsredovisning Formulär;Ja;;-;-;Bas;Redovisa intäkt, Alma                 ;PDF;Fast pris per månad;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Intäktsredovisning Filöverföring;Ja;;-;-;Bas;Redovisa intäkt Opus             ;Filöverföring;Fast pris per månad;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Intäktsredovisning Filöverföring;Ja;;-;-;Bas;Redovisa Intäkt Frenda           ;Filöverföring;Fast pris per månad;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Support Intäktsredovisning;Ja;;Bas;Bas;Bas;Support intäktsredovisning;Hjälp med frågor avseende intäktsredovisning;Fast pris per månad;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Inventarieredovisning;Ja;;Bas;Bas;Bas;Hantera versamhetens tillgångar i Anläggningsregister;Registreing, bevakning och utrangering samt avskrivningar av inventarier;Fast avgift;;;;0;Birgitta Jacobsson;;;;;
Praktikerservice;Ekonomiservice;Kassan - hantering likvida medel (kontohantering);;;Bas;Bas;Bas;;Diskuteras med Carina och Thomas;Fast pris per månad;;;;0;Tomas Esping;;;;;
;;Support Kostnadsredovisning;Ja;;Bas;Bas;Bas;Support kostnadsredovisning;;;;;;0;;;;;;
Praktikerservice;Ekonomiservice;Kundfaktura;Ja;;Bas;Bas;Bas;Faktureringstjänst med fakturering av verksamhetens kunder;;Fast pris per styck;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Kursansökan;Ja;;Bas;Bas;Bas;Behandling av kursansökan för verksamhetens ansvariga och anställda;;Fast pris per styck;;;;0;Tomas Esping;Maria Thor;;;;
Praktikerservice;Ekonomiservice;Leverantörsfaktura;Ja;;Bas;Bas;Bas;Hantering av verksamhetens leverantörsfakturor;;Fast pris per styck;;;;0;Tomas Esping;Maria Thor;;;;
Praktikerservice;Ekonomiservice;Månadsrapport;Ja;;Bas;Bas;Bas;Produktion av månadsrapport i månadsbokslut;Månadsrapport med ekonomisk översikt, rapporter samt trend och analys av verksamhetens ekonomi på Insikt;Fast pris per månad;;;;0;Birgitta Jacobsson;;;;;
Praktikerservice;Ekonomiservice;Månadsrapport;;;Bas;Bas;Bas;Support Månadsrapport;Hantera frågor relaterat till innehåll;Fast pris per månad;;;;0;Tomas Esping;;;;;
Praktikerservice;Ekonomiservice;Utredning intäktsredovsning;Ja;;Bas;Bas;Bas;;;Fast pris per timme;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Utredning kostnadsredovisning;;;Bas;Bas;Bas;;;;;;;0;;;;;;
Praktikerservice;Ekonomiservice;Vidarefakturering;Ja;;Plus;Plus;Plus;Vidarefakturering intäkter;Vidarefakturering av intäkter till extern part(delad verksamhet);Fast pris per styck;;;;0;Tomas Esping;Sofie Wallenberg;;;;
Praktikerservice;Ekonomiservice;Vidarefakturering;Ja;;Plus;Plus;Plus;Vidarefakturering kostnader;;Fast pris per styck;;;;0;Tomas Esping;Maria Thor;;;;
Företagsgemensamt;Fastighet;Fastighetsförvatlning;Ja;;Bas;Bas;Bas;Fastighetsförvärv;;Fast pris per månad;;;;0;Jenny Persson;;;;;
Företagsgemensamt;Fastighet;Fastighetsförvatlning;Ja;;Bas;Bas;Bas;Fastighetsförsäljningar;;Fast pris per månad;;;;0;Jenny Persson;;;;;
Företagsgemensamt;Fastighet;Fastighetsförvatlning;Ja;;Bas;Bas;Bas;Fastighetsförvaltning;;Fast pris per månad;;;;0;Jenny Persson;;;;;
Företagsgemensamt;Fastighet;Fastighetsförvatlning;Ja;;Bas;Bas;Bas;Strategiskt fastighetssupport;Bevakning av gällande lagar och förordningar;Fast pris per månad;;;;0;;;;;;
Företagsgemensamt;Fastighet;Fastighetsförvatlning;Ja;;Bas;Bas;Bas;Fastighetsförvaltning HK;;Fast pris per månad;;;;0;;;;;;
Praktikerservice;Fastighet;Hyresavtal;Ja;;Plus;Plus;Plus;Upprätta hyresavtal;;Fast pris per timme;;;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Hyresavtal;Ja;;Bas;Bas;Bas;Hyresavtalsbevakning;;Fast avgift per månad;;;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Hyresavtal;Ja;;Plus;Plus;Plus;Granskning av hyresavtal;;Fast pris per timme;;1 000 kr;1000;1000000;Jenny Persson;;;;;
Praktikerservice;Fastighet;Hyresavtal;Ja;;Plus;Plus;Plus;Uppsägning hyresavtal;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Hyresavtal;Ja;;Plus;Plus;Plus;Förhandling hyresavtal;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Lokalanpassning;Ja;;Plus;Plus;Plus;Rådgivning lokalanpassningar;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Lokalanpassning;Ja;;Plus;Plus;Plus;Lokalsök;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Lokalanpassning;Ja;;Plus;Plus;Plus;Granska handlingar och säkerställa kravställning på lokal;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Lokalanpassning;Ja;;Plus;Plus;Plus;Upphandlar projektledare, konsulter, entreprenörer. ;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Lokalanpassning;Ja;;Plus;Plus;Plus;Rådgivning kring finansieringsalternativ lokalanpassningar;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Lokalanpassning;Ja;;Plus;Plus;Plus;Beställare/hyresgästrepresentant vid ombyggnationer;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Rådgivning lokaler;Ja;;Plus;Plus;Plus;Rådgivning i momsfrågor för lokaler;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Rådgivning lokaler;Ja;;Plus;Plus;Plus;Allmän rådgivning lokalfrågor;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Tvister lokalfrågor;Ja;;Plus;Plus;Plus;Tvistehantering fastighetägare;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
Praktikerservice;Fastighet;Tvister lokalfrågor;Ja;;Plus;Plus;Plus;Tvisteärenden hyresnämnden;;Fast pris per timme;;1 000 kr;;0;Jenny Persson;;;;;
